1970,715674
1971,708100
1972,700200
1973,700000
1974,698400
1975,686100
1976,686100
1977,679400
1978,677700
1979,675800
1980,678974
1981,686915
1982,695546
1983,704809
1984,713196
1985,727977
1986,737396
1987,736499
1988,730471
1989,725889
1990,723496
1991,729708
1992,734861
1993,740277
1994,742316
1995,746386
1996,753934
1997,762953
1998,770262
1999,774716
2000,777340
2001,784677
2002,779447
2003,775663
2004,773556
2005,777835
2006,786187
2007,799185
2008,807904
2009,815184
2010,805825
2011,816239
2012,829691
2013,841138
2014,852469
