,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,label
0,300.28,300.3,300.32,300.33,300.35,300.37,300.39,300.41,300.43,300.44,300.46,300.48,1787900000.0,1788800000.0,1789600000.0,1790500000.0,1791300000.0,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1.2205,0.70866,0.15748,0.11811,0.03937,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,10.833,12.183,14.667,14.611,13.439,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,1.0,-14.0,-23.0,-27.0,-20.0,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,226.13,HL
1,300.3,300.32,300.33,300.35,300.37,300.39,300.41,300.43,300.44,300.46,300.48,300.5,1788800000.0,1789600000.0,1790500000.0,1791300000.0,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,0.70866,0.15748,0.11811,0.03937,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,12.183,14.667,14.611,13.439,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,-14.0,-23.0,-27.0,-20.0,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,176.56,ML
2,300.32,300.33,300.35,300.37,300.39,300.41,300.43,300.44,300.46,300.48,300.5,300.51,1789600000.0,1790500000.0,1791300000.0,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,0.15748,0.11811,0.03937,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,14.667,14.611,13.439,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,-23.0,-27.0,-20.0,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,150.94,ML
3,300.33,300.35,300.37,300.39,300.41,300.43,300.44,300.46,300.48,300.5,300.51,300.53,1790500000.0,1791300000.0,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,0.11811,0.03937,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,14.611,13.439,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,-27.0,-20.0,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,106.4,ML
4,300.35,300.37,300.39,300.41,300.43,300.44,300.46,300.48,300.5,300.51,300.53,300.55,1791300000.0,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,0.03937,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,13.439,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,-20.0,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,115.58,ML
5,300.37,300.39,300.41,300.43,300.44,300.46,300.48,300.5,300.51,300.53,300.55,300.56,1792100000.0,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,0.03937,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,13.667,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,-22.0,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,93.697,LL
6,300.39,300.41,300.43,300.44,300.46,300.48,300.5,300.51,300.53,300.55,300.56,300.57,1793000000.0,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,0.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,13.906,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,-24.0,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,130.06,ML
7,300.41,300.43,300.44,300.46,300.48,300.5,300.51,300.53,300.55,300.56,300.57,300.59,1793800000.0,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,0.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,14.55,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,15.7,-14.0,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,171.48,ML
8,300.43,300.44,300.46,300.48,300.5,300.51,300.53,300.55,300.56,300.57,300.59,300.61,1794700000.0,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,0.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,15.983,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,15.7,16.2,-13.0,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,172.73,ML
9,300.44,300.46,300.48,300.5,300.51,300.53,300.55,300.56,300.57,300.59,300.61,300.62,1795500000.0,1796300000.0,1797200000.0,1798000000.0,1798900000.0,1799800000.0,1800700000.0,1801600000.0,1802400000.0,1803300000.0,1804200000.0,1805100000.0,0.03937,0.07874,0.47244,0.86614,1.0236,0.3937,0.07874,0.3937,0.0,0.0,0.0,0.0,16.694,14.989,9.2722,10.383,11.567,14.383,13.928,14.222,14.944,15.7,16.2,16.889,-5.0,-21.0,-10.0,-19.0,-1.0,-9.0,8.0,-1.0,-15.0,-2.0,-14.0,-12.0,190.77,ML
